Claim,Evidence,Source,Link of Evidence,Label (SUPPORTED/REFUTED/NOT ENOUGH INFORMATION (NEI)),Annotation,Language,Evidence ,LINK OF EVIDENCE,LABEL(supported/not supported/not enough information),Source URL,Verdict,Reason,Label (Supported/Not Supported/ not enough information (NEI) ),Unnamed: 5,Label,Label (Supported/Not Supported/Not Enough Information (NEI)),Annotation (എന്തുകൊണ്ട് Supported/Not Supported/NEI),Source Link,Category,Label ,Column1,Label 1,Label 2
2023-ലെ അഴിമതി ധാരണാ സൂചികയിൽ തുടർച്ചയായി ആറാം വർഷവും ഡെൻമാർക്ക് ഏറ്റവും അഴിമതി കുറഞ്ഞ രാജ്യമായി.,"90 പോയിന്‍റുമായി ഡെൻമാർക്ക് ഒന്നാമതെത്തി, ഫിൻലാൻഡ് (87), ന്യൂസിലാൻഡ് (85) എന്നിവയാണ് തൊട്ടുപിന്നിൽ.",Transparency International Corruption Perceptions Index 2023,https://us.transparency.org/news/transparency-international-releases-the-2023-corruption-perceptions-index/,,,Malayalam,,,,,,,Supported,,,,"Transparency International-ന്‍റെ ഔദ്യോഗിക പേജ് തന്നെ സ്ഥിരീകരിക്കുന്നു: 2023-ലെ CPI-ൽ ഡെൻമാർക്ക് 90 പോയിന്‍റുമായി തുടർച്ചയായി ആറാം വർഷവും ഒന്നാമതെത്തി, ഫിൻലാൻഡ് (87), ന്യൂസിലാൻഡ് (85) എന്നിവ തൊട്ടുപിന്നിൽ. കണക്കുകൾ കൃത്യമായി ഒത്തുപോകുന്നു.",,,,,,
1 జనవరి 1949న రిజర్వ్ బ్యాంక్ ఆఫ్ ఇండియా జాతీయకరణ చేయబడింది.,రిజర్వ్ బ్యాంక్ (ట్రాన్స్‌ఫర్ టు పబ్లిక్ ఓనర్షిప్) చట్టం 1948 ప్రకారం 1949న ఆర్‌బీఐని పూర్తి ప్రభుత్వ పరిధిలోకి తెచ్చారు.,Reserve Bank of India,https://www.rbi.org.in,,,Telugu,,,,,,,Supported,,,,,,,,,,
ലിജോമോൾ ജോസിന് 'നടന്ന സംഭവം' എന്ന ചിത്രത്തിലെ അഭിനയത്തിന് 55-ാമത് കേരള സ്റ്റേറ്റ് ഫിലിം അവാർഡിൽ മികച്ച സഹനടിക്കുള്ള പുരസ്കാരം ലഭിച്ചു.,'നടന്ന സംഭവം' എന്ന ചിത്രത്തിലെ അഭിനയത്തിന് ലിജോമോൾ ജോസിന് 55-ാമത് കേരള സ്റ്റേറ്റ് അവാർഡിൽ മികച്ച സഹനടിക്കുള്ള ബഹുമതി ലഭിച്ചു.,Wikipedia,,,ലിജോമോൾ ജോസിന് 'നടന്ന സംഭവ'ത്തിലെ അഭിനയത്തിന് 55-ാമത് കേരള സംസ്ഥാന ചലച്ചിത്ര അവാർഡിൽ മികച്ച സഹനടി (Character Artist) പുരസ്കാരം ലഭിച്ചെന്ന് Gulf News സ്ഥിരീകരിക്കുന്നു.,Malayalam,,,,,,,,,Supported,,,https://en.wikipedia.org/wiki/55th_Kerala_State_Film_Awards,,,,,
ਬੱਬੂ ਮਾਨ ਨੇ ਦੁਬਈ ਵਿੱਚ ਆਪਣੇ ਨਵੇਂ ਸੰਗੀਤਕ ਟੂਰ ਦਾ ਐਲਾਨ ਕੀਤਾ ਹੈ।,"ਅਧਿਕਾਰਤ ਸੋਸ਼ਲ ਮੀਡੀਆ ਹੈਂਡਲ ਮੁਤਾਬਕ, ਬੱਬੂ ਮਾਨ ਨੇ ਦੁਬਈ ਟੂਰ ਦੀ ਪੁਸ਼ਟੀ ਕੀਤੀ ਹੈ।",Punjabi Tribune,https://www.punjabitribuneonline.com/?id=10484,,,Punjab,,,,,,,,,,,,,,Supported,,,
ਸ਼ਹਿਨਾਜ਼ ਗਿੱਲ ਦੀ ਨਵੀਂ ਫਿਲਮ ਨੇ ਪਹਿਲੇ ਦਿਨ 5 ਕਰੋੜ ਦੀ ਕਮਾਈ ਕੀਤੀ।,ਬਾਕਸ ਆਫਿਸ ਰਿਪੋਰਟਾਂ ਅਨੁਸਾਰ ਸ਼ਹਿਨਾਜ਼ ਗਿੱਲ ਦੀ ਫਿਲਮ ਨੇ ਓਪਨਿੰਗ ਡੇਅ 'ਤੇ ਵਾਕਈ 5 ਕਰੋੜ ਕਮਾਏ ਹਨ।,Jagbani,https://punjabi.bollywoodtadka.in/?id=10397,,,Punjab,,,,,,,,,,,,,,Supported,,,
حکومت نے حجاج کے مالی تعاون کے لئے خصوصی پیکیج کا اعلان کیا ہے۔,خبر میں حکومت کی طرف سے حجاج کے لئے خصوصی مالی تعاون یا پیکیج کا ذکر نہیں کیا گیا، بلکہ صرف انتظامات اور سفر کی سہولیات پر بات کی گئی ہے۔,Munsif Daily (Urdu) - منصف ڈیلی، حیدرآباد,https://munsifdaily.com/hajj-committee-calls-meeting-to-ensure-smooth-departure-arrival-of-hajj-aspirants/,,یہ ثبوت واضح کرتا ہے کہ حکومت نے حجاج کے لئے مالی تعاون کا کوئی پیکیج متعارف نہیں کرایا، اس لئے دعویٰ کی تردید ہوتی ہے۔,Urdu,,,,,,,,,Not Supported,,,,,,,,
राष्ट्रिय प्रजातन्त्र पार्टीका प्रतिनिधि सभा सांसद ज्ञानेन्द्र शाहीले दलीय भागबण्डाका आधारमा राष्ट्रपतिका २७ जना सल्लाहकार रहेको दावीसहित फेसबुक पोस्ट गरेको।,"ज्ञानेन्द्र शाहीको नाममा झुटो प्रचार! राष्ट्रपतिका सल्लाहकारहरु २७ जना होइनन् - Nepal Factcheck ☰ होम हाम्रो बारे मिथ्या सूचना के हो? हाम्रो वर्गीकरणको अर्थ मिथ्या सूचना: के गर्ने? FAQs तथ्यजाँच अनुरोध × होम हाम्रो बारे मिथ्या सूचना के हो? हाम्रो वर्गीकरणको अर्थ मिथ्या सूचना: के गर्ने? FAQs तथ्यजाँच अनुरोध कर्णाली तथ्यजाँच मिथ्या सूचना सम्बन्धित प्रदेश ज्ञानेन्द्र शाहीको नाममा झुटो प्रचार! राष्ट्रपतिका सल्लाहकारहरु २७ जना होइनन् Home तथ्यजाँच मिथ्या सूचना प्रविण भट्ट कार्तिक २८, २०८१ ज्ञानेन्द्र शाहीको नाममा झुटो प्रचार! राष्ट्रपतिका सल्लाहकारहरु २७ जना होइनन् राष्ट्रिय प्रजातन्त्र पार्टीका सांसद ज्ञानेन्द्र शाहीले राष्ट्रपतिका सल्लाहकारहरु २७ जना रहेको दावी गरेको पोस्ट विभिन्न सामाजिक सञ्जालहरुमा फैलिएको छ। तर, हाम्रो तथ्यजाँचले उक्त दावी मिथ्या सूचना ठहर गरेको छ। राष्ट्रपति रामचन्द्र पौडेलका २७ जना नभई पाँच जनामात्रै सल्लाहकार छन्। सांसद शाहीको आधिकारिक भेरिफाइड फेसबुक अकाउन्टबाट नभई उनको नाम प्रयोग गरेर खोलिएको अर्कै फेसबुक प्रोफाइलबाट मिथ्या सूचना फैलाइएको हो। के हो दावी? जुम्लाबाट प्रतिनिधि सभा सदस्य निर्वाचित तथा राष्ट्रिय प्रजातन्त्र पार्टीका पाँच जना प्रवक्ता मध्ये एक समेत रहेका ज्ञानेन्द्र शाहीको नाम र ‘प्रोफाइल पिक्चर’ भएको फेसबुक प्रोफाइलबाट “राष्ट्रपतिको सल्लाहकार मात्र २७ जना, त्यो पनि दलीय भागबन्डाबाट। अनि किन राजा चाहियो?” लेखिएको एक स्टायटस पोस्ट गरिएको छ। हेर्नुस् अर्काइभ लिङ्क। यो तथ्यजाँच तयार पार्दासम्म ६५२ जनाले रियाक्ट गरेको सो पोस्ट ३०६ पटक सेयर गरिएको छ भने २१० वटा कमेन्ट छ। सोही पोस्ट स्क्रिनसटलाई भिडियोमा परिणत गर्दै hami_nepali67 नामक टिकटक प्रयोगकर्ताले अपलोड गरेको भिडियो १८ हजार भन्दा बढी पटक हेरिएको हो। यो तथ्यजाँच तयार पार्दा सम्म ८५८ जनाले उक्त टिकटक भिडियो लाइक गरेका छन्। हेर्नुहोस् स्क्रिनसट- टिकटकमा राखिएको सो भिडियोलाई @ rebelnepali नामक प्रयोगकर्ताले सामाजिक सञ्जाल एक्समा समेत राखेका छन्। एक्समा ७ हजार भन्दा बढी पटक हेरिएको भिडियो ९४ जनाले लाइक गरेका छन् भने १६ पटक उक्त भिडियो रिपोस्ट गरिएको हो। हेर्नुहोस् स्क्रिनसट- के हो तथ्य? यो विषयको तथ्यजाँच गर्नका लागि हामीले ज्ञानेन्द्र शाहीको आधिकारिक फेसबुक अकाउन्ट सर्च गरेर हेर्‍यौँ। स",NepalFactCheck.org,https://nepalfactcheck.org/2024/11/president-office-advisors-false-claim-nepal/,,"मिथ्या सूचना। यो फेसबुक पोस्ट प्रतिनिधि सभा सांसद ज्ञानेन्द्र शाहीले गरेका होइनन्, शाहीको आधिकारिक फेसबुक पेजमा त्यस्तो कुनै पोस्ट गरिएको छैन। राष्ट्रपति कार्यालयमा कूल पाँच जना विज्ञका रुपमा काम गरिरहेको तथ्य राष्ट्रपति कार्यालयको वेबसाइटमा हेर्न सकिन्छ। राष्ट्रपति कार्यालयका सूचना अधिकारीले पनि पाँच जना मात्रै विज्ञ रहेको पुष्टि गरिन्।",Nepali,,,,,,,,,REFUTES,,,,politics_elections,,,,
సమయానికి టీకాలు వేయించుకోవడం పిల్లల ఆరోగ్యానికి ముఖ్యమైనది.,టీకాలు తీవ్రమైన అంటువ్యాధుల నుంచి రక్షిస్తాయి.,WHO,https://www.who.int/health-topics/vaccines-and-immunization,,,Telugu,,,,,,,,,,,,,,,,Supported,Supported
चुनावी खर्च लुकाउने एक हजार ८० जना चुनाव उठ्न नपाउने।,"के चुनावी खर्च लुकाउने उम्मेदवारले आगामी चुनाव लड्न नपाउने भएका हुन् ? - Nepal Factcheck ☰ होम हाम्रो बारे मिथ्या सूचना के हो? हाम्रो वर्गीकरणको अर्थ मिथ्या सूचना: के गर्ने? FAQs तथ्यजाँच अनुरोध × होम हाम्रो बारे मिथ्या सूचना के हो? हाम्रो वर्गीकरणको अर्थ मिथ्या सूचना: के गर्ने? FAQs तथ्यजाँच अनुरोध तथ्यजाँच भ्रामक सूचना वागमती सम्बन्धित प्रदेश के चुनावी खर्च लुकाउने उम्मेदवारले आगामी चुनाव लड्न नपाउने भएका हुन् ? Home तथ्यजाँच भ्रामक सूचना नेपाल फ्याक्ट चेक पुस १६, २०८२ के चुनावी खर्च लुकाउने उम्मेदवारले आगामी चुनाव लड्न नपाउने भएका हुन् ? अन्नपूर्ण पोस्ट राष्ट्रिय दैनिकमा ‘चुनावी खर्च लुकाउने एक हजार ८० जना चुनाव उठ्न नपाउने’ दावी गरिएको समाचार मंगलबार प्रकाशित भएपछि विभिन्न सामाजिक सञ्जाल पेज र व्यक्तिहरुले पनि यस्तै दावीसहितका गरेका पोस्टहरु भाइरल भएका छन्। तर, हाम्रो तथ्यजाँचले यो दावी भ्रामक रहेको ठहर गरेको छ। किनकि, समाचारमा भनिएजस्तो ऐनमा उम्मेदवार भएर निर्वाचन खर्च नबुझाउने र बुझाएर पनि सार्वजनिक नगर्ने उम्मेदवारलाई कालोसूचीमा राखिने र त्यस्ता उम्मेदवार आगामी चुनावमा उम्मेदवार हुन अयोग्य हुने उल्लेख छैन। के छ दावी ? अन्नपूर्ण पोस्टमा पुस १५ गते चुनावी खर्च लुकाउने १०८० जना यसपालि उठ्न नपाउने शीर्षकमा र त्यसको अनलाइनमा पुस १५ गते ‘फेरि उठ्न मन छ ? १,०८० जनालाई निर्वाचन आयोग भन्दैछ, ‘हुन्न’ भन्ने शीर्षकमा समाचार प्रकाशित छ। समाचारको लिडलाइनमा – ‘राजनीतिक प्रतिस्पर्धामा फेरि उभिन मन छ ? मतदातासामु अनुहार देखाउने चाहना छ ? तर, अघिल्लो चुनावको खर्च विवरण लुकाउनुभएको छ भने निर्वाचन आयोगको जवाफ स्पष्ट छ– ‘हुन्न’ लेखिएको छ। त्यस्तै, लिडलाइनलाई पुष्टि गर्न अगाडि लेखिएको छ – प्रतिनिधिसभा सदस्य निर्वाचन २०७९ मा उम्मेदवार भएर निर्वाचन खर्च नबुझाउने र बुझाएर पनि सार्वजनिक नगर्ने १ हजार ८० जना उम्मेदवार निर्वाचन आयोगको कालोसूचीमा परेका छन्। आयोगका अनुसार यस्ता उम्मेदवारहरू आगामी चुनावमा उम्मेदवार हुन अयोग्य छन्। कार्यवाहक प्रमुख निर्वाचन आयुक्त रामप्रसाद भण्डारीका अनुसार विगतका निर्वाचनमा उम्मेदवार भएर तोकिएको समयभित्र निर्वाचन खर्च विवरण आयोगमा नबुझाउने र मतदातामाझ सार्वजनिक नगर्ने दुवै खाले उम्मेदवार आयोगको ‘ब्ल्याक लिस्ट’ मा छन्। हेर्नुस्, अर्काइभ लिंक , स्क्रिनसट त्य",NepalFactCheck.org,https://nepalfactcheck.org/2025/12/election-expenses-candidate-disqualification-nepal/,,"भ्रामक सूचना। अन्नपूर्ण पोस्टको समाचारले खर्च विवरण नबुझाएको वा सार्वजनिक नगरेको आधारमै एक हजार ८० जना उम्मेदवार आगामी चुनाव लड्न नपाउने निष्कर्ष निकालेको छ। तर, प्रचलित कानुनअनुसार यस्तो अवस्थामा पहिले जरिवाना, त्यसपछि जरिवाना ६ महिनासम्म नतिरेमा मात्र अयोग्यताको प्रक्रिया अघि बढ्न सक्छ। निर्वाचन आयोगले पनि कालो सूची तयार नपारेको बताएको छ। त्यसैले समाचारमा गरिएको दावी भ्रामक छ।",Nepali,,,,,,,,,REFUTES,,,,politics_elections,,,,
ਪ੍ਰਸਿੱਧ ਅਦਾਕਾਰ ਐਮੀ ਵਿਰਕ ਨੂੰ ਬਾਲੀਵੁੱਡ ਫਿਲਮ ਲਈ ਸਾਈਨ ਕੀਤਾ ਗਿਆ ਹੈ।,ਪ੍ਰੋਡਕਸ਼ਨ ਹਾਊਸ ਨੇ ਪ੍ਰੈਸ ਨੋਟ ਜਾਰੀ ਕਰਕੇ ਐਮੀ ਵਿਰਕ ਦੇ ਇਸ ਪ੍ਰੋਜੈਕਟ ਵਿੱਚ ਸ਼ਾਮਲ ਹੋਣ ਦੀ ਪੁਸ਼ਟੀ ਕੀਤੀ ਹੈ।,Jagbani,https://punjabi.bollywoodtadka.in/?id=10469,,,Punjab,,,,,,,,,,,,,,Supported,,,
प्रहरी महानिरीक्षकले हर्क साम्पाङलाई चेतावनी दिँदै बोलेको भिडिओ,"प्रहरी महानिरीक्षकले हर्क साम्पाङलाई चेतावनी दिएको भनिएको भिडियो एआई निर्मित, दाबी मिथ्या - Nepal Factcheck ☰ होम हाम्रो बारे मिथ्या सूचना के हो? हाम्रो वर्गीकरणको अर्थ मिथ्या सूचना: के गर्ने? FAQs तथ्यजाँच अनुरोध × होम हाम्रो बारे मिथ्या सूचना के हो? हाम्रो वर्गीकरणको अर्थ मिथ्या सूचना: के गर्ने? FAQs तथ्यजाँच अनुरोध तथ्यजाँच मिथ्या सूचना वागमती प्रहरी महानिरीक्षकले हर्क साम्पाङलाई चेतावनी दिएको भनिएको भिडियो एआई निर्मित, दाबी मिथ्या Home तथ्यजाँच मिथ्या सूचना टेकमान शाक्य बैशाख २४, २०८३ प्रहरी महानिरीक्षकले हर्क साम्पाङलाई चेतावनी दिएको भनिएको भिडियो एआई निर्मित, दाबी मिथ्या श्रम संस्कृति पार्टीका अध्यक्ष एवम् सांसद हर्क साम्पाङलाई प्रहरी महानिरीक्षक दानबहादुर कार्कीले चेतावनी दिएको दाबीसहितको एक भिडियो सामाजिक सञ्जालमा भाइरल भइरहेको छ। तर, नेपाल फ्याक्ट चेकको प्राविधिक परीक्षणले उक्त भिडियो एआई प्रयोग गरी बनाइएको र दाबी पूर्णतः मिथ्या रहेको पुष्टि गरेको छ। के हो दावी ? ६६ हजार फलोअर्स रहेको ‘B-rendra Kc’ नामका फेसबुक प्रयोगकर्ताले मे ४, २०२६ मा १६ सेकेन्डको एक भिडियो क्लिप पोस्ट गरेका छन्। उक्त भिडियोमा प्रहरी महानिरीक्षक दानबहादुर कार्कीले सांसद हर्क साम्पाङलाई चेतावनी दिँदै सरकारको विरोध गरिरहे सुरक्षाक लागि खटाइएका सुरक्षाकर्मीहरु हटाउन बाध्य हुने र सांसद पद समेत निलम्बन हुन सक्ने भनेको सुनिन्छ। भिडियोमा साम्पाङको तस्बिर समेत प्रयोग गरिएको छ। भाइरल भिडियोको प्रभाव यो तथ्य जाँच तयार पार्दासम्म उक्त भिडियोलाई ४ लाखभन्दा बढी पटक हेरिएको छ भने १ हजार बढी रियाक्सन, ६५४ कमेन्ट र १,६०० पटक शेयर गरिएको छ। हेर्नुहोस् B-rendra Kc को स्क्रिन रेकर्ड https://nepalfactcheck.org/wp-content/uploads/2026/05/dan-bahadur.mp4 भिडिओ लिंक यहाँ छ भने अर्काइभ लिंक यहाँ छ । के हो तथ्य ? हामीले यस भिडियोको सत्यता जाँच्न प्राविधिक र कानुनी दुवै पक्षबाट अनुसन्धान गर्‍यौं। १. प्राविधिक परीक्षण भिडियोलाई गुगलको SynthID प्रविधिमार्फत परीक्षण गर्दा, भिडियोको सुरुदेखि अन्त्यसम्मको आवाज एआई निर्मित (AI Generated) र सम्पादन गरिएको पुष्टि भयो। भिडियोमा देखिने दृश्य पुराना दृश्यका फ्रेमहरूसँग मिले पनि आवाज भने पूर्ण रूपमा कृत्रिम हो। हेर्नुहोस् synthID ले दिएको नतिजा २. संवैधानिक र कानुनी व्यवस्थ",NepalFactCheck.org,https://nepalfactcheck.org/2026/05/ai-generated-video-of-igp-warning-harka-sampang-circulates-online-claim-found-false/,,"भारत-पाकिस्तान युद्ध बारे प्रधानमन्त्री ओलीले के भनेका हुन् ? बैशाख ३०, २०८२ यसमा प्रकाशित सबै सामग्री CC BY 4.0 अन्तर्गत छन्। यसलाई NepalFactCheck.org भनेर स्रोत खोलेर पूर्ण वा आशय फरक नपर्ने गरी सम्पादन गरी पुन: प्रकाशन गर्न पाइन्छ। ×",Nepali,,,,,,,,,REFUTES,,,,politics_elections,,,,
ٹی آر ایس کی حکومت نے سقوط حیدرآباد کی تاریخ کو تبدیل کرنے کی کوششیں کی ہیں。,بنڈی سنجے نے الزام لگایا ہے کہ ٹی آر ایس اور مجلس سقوط حیدرآباد کی تاریخ کو مسخ کرنے کی کوشش کر رہی ہیں۔ انہوں نے بتایا کہ بی جے پی اس عمل کی سخت مذمت کرتی ہے اور مرکزی حکومت نے اس تقریب کے انعقاد کا اعلان کیا ہے۔,The Siasat Daily (Urdu) - سیاست ڈیلی، حیدرآباد,https://urdu.siasat.com/news/%d8%af%d8%a7%d8%b1%d8%a7%d9%84%d8%b3%d9%84%d8%a7%d9%85-%d8%b3%db%92-%d8%a7%d8%ad%da%a9%d8%a7%d9%85%d8%a7%d8%aa-%da%a9%db%8c-%d8%a7%d8%ac%d8%b1%d8%a7%d8%a6%db%8c-%da%a9%db%92-%d8%a8%d8%b9%d8%af-%d9%be-1405654/,,مضمون میں یہ واضح نہیں ہے کہ ٹی آر ایس نے واقعی تاریخ کو تبدیل کرنے کی کوششیں کی ہیں، صرف الزام عائد کیا گیا ہے۔,Urdu,,,,,,,,,Not Supported,,,,,,,,
"यति एयरलाइन्स विश्वकै ‘चढ्न नहुने’, अति असुरक्षित एयरलाइन्सको सूचीमा परेको छ।","के यति एयरलाइन्स विश्वकै 'चढ्न नहुने', 'असुरक्षित' एयरलाइन्सको सूचीमा परेको हो? - Nepal Factcheck ☰ होम हाम्रो बारे मिथ्या सूचना के हो? हाम्रो वर्गीकरणको अर्थ मिथ्या सूचना: के गर्ने? FAQs तथ्यजाँच अनुरोध × होम हाम्रो बारे मिथ्या सूचना के हो? हाम्रो वर्गीकरणको अर्थ मिथ्या सूचना: के गर्ने? FAQs तथ्यजाँच अनुरोध तथ्यजाँच भ्रामक सूचना वागमती सम्बन्धित प्रदेश के यति एयरलाइन्स विश्वकै ‘चढ्न नहुने’, ‘असुरक्षित’ एयरलाइन्सको सूचीमा परेको हो? Home तथ्यजाँच भ्रामक सूचना नेपाल फ्याक्ट चेक माघ ३, २०८० के यति एयरलाइन्स विश्वकै ‘चढ्न नहुने’, ‘असुरक्षित’ एयरलाइन्सको सूचीमा परेको हो? केही अनलाइन मिडियासहित सामाजिक सञ्जालमा नेपालको यति एयरलाइन्स विश्वकै चढ्न नहुने, असुरक्षित एयरलाइन्सको सूचीमा परेको खबर भाइरल भएको छ। ती समाचारमा दावी गरिए अनुसार एयरलाइन्सरेटिङ्ग्समा सात स्टार मध्ये तीनभन्दा कम रेटिङ पाउने विश्वका तीन एयरलाइन्समध्ये एकमा यति परेको हो। तर हाम्रो तथ्यजाँचमा यो दावी भ्रामक देखियो। एयरलाइन्सरेटिङ्ग्सले नेपाल एयरलाइन्सबाहेक नेपालका अरु कुनै पनि एयरलाइन्सको रेटिङ गरेको देखिएन। इयुको प्रतिबन्ध सूचीमा भने यति एयरलाइन्समात्र हैन, नेपालका सबै एयरलाइन्स समेटिएको छ। के छ दावी ? १९ लाख फलोअर्स भएको सूत्रन्युज नामको फेसबुक पेजले जनवरी ९ मा ‘विश्वमै अति असुरक्षित विमान कम्पनी’ लेख्दै एउटा पोस्ट फेसबुकमा सेयर गरेको छ जसमा सूत्रन्युज डट कममा प्रकाशित ‘यति एयरलाइन्स : विश्वमै अति असुरक्षित विमान कम्पनी !’ शीर्षकको समाचारको लिङ्क छ। जनवरी १७ सम्म यो पोस्टमा २ हजार रियाक्सन, १५५ कमेन्ट र १ सय पटक सेयर गरिएको छ। सूत्रन्युजको फेसबुक पेजको स्क्रिनसट। फेसबुक पेज लिङ्क। अर्काइभ लिङ्क समाचारमा दावी गरिएको छ- ‘विश्वका जोखिमपूर्ण तीन एयरलाइन्स भित्र नेपालको यति एयरलाइन्स अति जोखिम हुने कम्पनी भित्र परेको उड्डयन सम्बन्धि समाचार प्रकाशन गर्ने टकर न्युज डट कोले उल्लेख गरेको छ।’ सूत्रन्युजको समाचार अर्काइभ लिङ्क। रुटिन अफ सेयर मार्केट फेसबुक पेजको स्क्रिनसट। फेसबुक लिङ्क। अर्काइभ लिङ्क। त्यसैगरी ‘रुटिन अफ सेयर मार्केट’ नामको फेसबुक पेजले पनि ‘यती एयरलाइन्सका यात्रु १००% असुरक्षित, २०२४ मा चढ्न नहुने तीन विश्वका एयरलाइन्स सूचीमा नेपालको यती एयरलाइन्स !’ शीर्षकमा एउटा पोस्ट राखेको छ जसमा यो फ्याक्ट चेक",NepalFactCheck.org,https://nepalfactcheck.org/2024/01/yeti-airlines-misinformation/,,भ्रामक सूचना। नेपाली अनलाइन न्युजपोर्टलहरुले टिकरन्युजलाई र टिकरन्युजले एयरलाइनरेटिङ्ग्सलाई स्रोत बताएको छ। तर एयरलाइनरेटिङ्ग्सले भने यति एयरलाइन्सलाई सूचीकृत नै गरेको छैन। नेपालको नेपाल एयरलाइन्सलाई बाहेक अरु कुनै पनि एयरलाइन्स त्यसमा सूचीकृत छैन। यद्यपि उडान सुरक्षा समेतलाई ध्यानमा राख्दै युरोपियन युनियनले आफ्नो एयरस्पेसमा उडान प्रतिबन्ध लगाएका एयरलाइन्सको सूचीमा यति एयरलाइन्ससहित नेपालका सबै एयरलाइन्स पनि पर्छन्।,Nepali,,,,,,,,,REFUTES,,,,finance_investment,,,,
ہندوستانی حکومت نے ایل پی جی سلنڈر کے وزن میں کمی کا فیصلہ کر لیا ہے۔,حکومت کی جانب سے ایل پی جی سلنڈر کے وزن کو 14.2 کلو سے 10 کلو کرنے کے بارے میں ابھی کوئی باقاعدہ اعلان نہیں ہوا ہے، یہ منصوبہ ابھی زیر غور ہے۔,Munsif Daily (Urdu) - منصف ڈیلی، حیدرآباد,https://munsifdaily.com/lpg-cylinder-size-may-be-reduced-to-10-kg/,,مضمون میں بتایا گیا ہے کہ ایل پی جی سلنڈر کے وزن میں کمی کا منصوبہ ابھی زیر غور ہے اور اس پر کوئی باقاعدہ اعلان نہیں کیا گیا، لہذا یہ دعویٰ درست نہیں ہے۔,Urdu,,,,,,,,,Not Supported,,,,,,,,
పిల్లలకు జ్వరం వచ్చినప్పుడు డాక్టర్ సలహా అవసరం.,అధిక జ్వరం లేదా ఇతర లక్షణాలు ఉంటే వైద్యులను సంప్రదించాలని సూచిస్తారు.,CDC,https://www.cdc.gov/chronic-disease/prevention/index.html,,,Telugu,,,,,,,,,,,,,,,,Supported,Supported
ਨਿਮਰਤ ਖਹਿਰਾ ਦੀ ਨਵੀਂ ਫਿਲਮ ਨੇ ਪਹਿਲੇ ਦਿਨ 50 ਕਰੋੜ ਦੀ ਕਮਾਈ ਕੀਤੀ।,ਬਾਕਸ ਆਫਿਸ ਰਿਪੋਰਟਾਂ ਅਨੁਸਾਰ ਨਿਮਰਤ ਖਹਿਰਾ ਦੀ ਫਿਲਮ ਨੇ ਓਪਨਿੰਗ ਡੇਅ 'ਤੇ ਵਾਕਈ 50 ਕਰੋੜ ਕਮਾਏ ਹਨ।,BBC News Punjabi,https://www.bbc.com/punjabi?id=10391,,,Punjab,,,,,,,,,,,,,,Supported,,,
നടി ഡക്കോട്ട ജോൺസണും ഗായകൻ റോൾ മോഡലും (ടക്കർ പിൽസ്ബറി) 2025 ഡിസംബർ മുതൽ പ്രണയത്തിലാണെന്ന് അഭ്യൂഹമുണ്ട്.,ലോസ് ആഞ്ചലസിൽ ചുംബിക്കുന്നതായി കണ്ടെങ്കിലും ഇരുവരും ബന്ധത്തെക്കുറിച്ച് ഔദ്യോഗികമായി പ്രതികരിച്ചിട്ടില്ല.,BuzzFeed (via AOL),,,ഡക്കോട്ട ജോൺസണും റോൾ മോഡലും ലോസ് ആഞ്ചലസിൽ ചുംബിക്കുന്നതായി കണ്ടെങ്കിലും ഇരുവരും ബന്ധത്തെക്കുറിച്ച് ഔദ്യോഗികമായി പ്രതികരിച്ചിട്ടില്ല.,Malayalam,,,,,,,,,not enough information (NEI),,,https://www.aol.com/lifestyle/23-celebrity-couples-made-us-013103063.html,,,,,
